Date,AGG,SPY,PE,NPI
2000-03-31,,2.64325886222407,7.0,3.2
2000-06-30,,-3.15993601940555,3.5,3.1
2000-09-30,,-0.89158613107834,-1.8,3.0
2000-12-31,,-8.37957532598391,-3.5,2.85
2001-03-31,,-10.811495403146921,-2.5,2.2
2001-06-30,,5.36355166191802,-3.0,1.8
2001-09-30,,-14.492775945919812,-2.8,1.6
2001-12-31,,9.817233268994642,-2.2,1.55
2002-03-31,,0.47950726237355,-1.8,1.65
2002-06-30,,-13.28468154819468,-1.5,1.62
2002-09-30,,-16.979960699684778,-1.0,1.6
2002-12-31,,8.40395610467568,-0.8,1.58
2003-03-31,,-3.5683589478260695,1.5,1.75
2003-06-30,,15.62740775765443,3.5,1.88
2003-09-30,,2.7693273659527,6.0,2.0
2003-12-31,0.36984906347441004,11.86178272080664,6.8,2.15
2004-03-31,2.28160819217642,1.99175617037468,4.5,2.9
2004-06-30,-2.4686061619604,1.6340366356690699,5.2,3.25
2004-09-30,3.08861728435128,-2.01234443043392,5.5,3.55
2004-12-31,0.9193905816355701,8.98430000618253,5.2,3.7
2005-03-31,-0.8602332261733501,-2.0242640356726698,4.8,4.2
2005-06-30,3.46334466130602,1.44205363461302,5.5,4.55
2005-09-30,-0.80389321639026,3.67831080031297,6.0,4.75
2005-12-31,0.5070978441270799,1.73112661359635,6.8,4.95
2006-03-31,-0.7673669316256501,4.68743227170374,5.5,3.9
2006-06-30,-0.50762556787679,-1.53079603791566,6.0,3.95
2006-09-30,4.043902470864761,5.41125081378099,6.5,4.0
2006-12-31,1.1439455592635501,6.60957400267698,6.0,4.05
2007-03-31,1.35592155029253,0.66601185182089,5.5,3.7
2007-06-30,-0.70849205887264,6.3931663306891595,5.2,3.8
2007-09-30,3.01401839078319,1.9104493244297398,4.8,3.85
2007-12-31,2.8202734158298397,-3.6662495663808805,3.0,3.9
2008-03-31,2.28156271014636,-9.29257237825303,-2.0,3.0
2008-06-30,-1.1248761519277202,-2.5383611141499203,-5.5,0.2
2008-09-30,-0.64096068536213,-8.84404138966339,-9.5,-2.5
2008-12-31,7.38153629860551,-21.56863776304026,-12.5,-6.0
2009-03-31,-1.9513347349135401,-11.24873146212097,-6.5,-5.5
2009-06-30,1.6545308452027,16.284494794533817,-1.5,-5.0
2009-09-30,3.72270154235387,15.381103940737919,6.5,-3.5
2009-12-31,-0.39858367399694006,6.10852236015768,10.0,-2.0
2010-03-31,1.6092342776165398,5.4215465770805595,5.0,0.8
2010-06-30,3.87151650852437,-11.358029898967171,5.8,2.9
2010-09-30,2.16005440413107,11.16158611961743,5.5,3.6
2010-12-31,-1.35484426690293,10.76083169902328,4.2,4.0
2011-03-31,-0.01831751341396,5.89740947047741,3.5,3.2
2011-06-30,2.3689518832026,0.02587084881766,3.0,3.4
2011-09-30,4.0282672667937005,-13.8172335772172,1.8,3.55
2011-12-31,1.14922754158581,11.618117372721,1.5,3.65
2012-03-31,0.13500049684085,12.690915641147349,3.5,2.45
2012-06-30,1.9737561048566599,-2.84409637918385,3.8,2.52
2012-09-30,1.6323688089030002,6.34717609512791,4.2,2.58
2012-12-31,-0.02241030956479,-0.38199788466384,4.0,2.62
2013-03-31,0.06453343987715,10.50268206555382,4.5,2.52
2013-06-30,-2.6009482940005,2.93533497071558,5.2,2.6
2013-09-30,0.55482118398291,5.24183577830712,5.8,2.68
2013-12-31,0.01996443772078,10.52477684438248,5.8,2.75
2014-03-31,1.77218449971943,1.7030529887416899,3.8,2.65
2014-06-30,1.95180513556982,5.1589876443842,4.2,2.75
2014-09-30,0.27550498415225,1.1347460128823201,4.5,2.82
2014-12-31,1.87826109667041,4.900245726492701,3.5,2.9
2015-03-31,1.51806079538017,0.88133137288686,2.5,2.95
2015-06-30,-1.8272881579847602,0.20405919991625998,2.2,3.08
2015-09-30,1.33910899188178,-6.42395318927463,2.0,3.15
2015-12-31,-0.51184675616068,7.020486800806661,1.5,3.2
2016-03-31,3.03205590940198,1.32923367478166,2.5,1.9
2016-06-30,2.20892105905929,2.45689907169248,2.8,1.95
2016-09-30,0.37966919809155,3.7772892168251797,3.0,1.98
2016-12-31,-3.11611561125304,3.95166928219294,2.8,2.0
2017-03-31,0.80427974713581,5.921162021583211,3.8,1.65
2017-06-30,1.58182440133722,3.0708324105377103,4.2,1.7
2017-09-30,0.69957471517168,4.41555529677182,4.8,1.72
2017-12-31,0.42432876268472003,6.764289814350111,4.8,1.75
2018-03-31,-1.46552906704879,-0.99527972164259,3.8,1.62
2018-06-30,-0.18302999327605998,3.5523989408105097,3.5,1.65
2018-09-30,-0.08452029539208,7.65114417730967,3.5,1.67
2018-12-31,2.1061637347541797,-13.532092217033439,3.0,1.68
2019-03-31,2.9355251196934598,13.526037326581818,3.5,1.58
2019-06-30,2.82402238248666,4.22861497236162,3.8,1.6
2019-09-30,2.33936966234589,1.7544004989987898,4.5,1.62
2019-12-31,0.12662793099189,8.9876064598114,5.0,1.64
2020-03-31,3.09986273925439,-19.44769277138747,-1.5,0.85
2020-06-30,3.07807919067526,20.16173894742428,-5.5,-1.0
2020-09-30,0.4008423539751,9.038341980019709,6.5,0.45
2020-12-31,0.7279816291542299,12.11851081430595,10.8,0.95
2021-03-31,-3.3718858801461105,6.35179777133994,8.5,2.1
2021-06-30,1.7729905636095298,8.35930771227795,12.5,3.8
2021-09-30,-0.011626427207370001,0.5734989002193299,13.8,5.2
2021-12-31,-0.09753645658658,11.06598215223224,10.5,6.1
2022-03-31,-5.84577688893405,-4.61448291786175,1.5,3.2
2022-06-30,-4.57953824035227,-16.11025244167385,-5.2,2.0
2022-09-30,-4.70233362350828,-4.931159559381,-2.8,0.3
2022-12-31,1.5891939665383998,7.56091684408812,-1.8,-1.8
2023-03-31,3.2322600287103502,7.4582373768173005,0.5,-1.1
2023-06-30,-0.94149014833755,8.68036988415499,1.5,-0.85
2023-09-30,-3.2194156765653204,-3.2241728321145,2.2,-0.55
2023-12-31,6.7568518621689195,11.63962613022837,1.8,-0.35
